game_id,home_team_alias,home_team,away_team_alias,away_team,date,time_zone
06362331-9696-4aa2-8afa-e9aaf6473b29,STL,St. Louis Blues,NSH,Nashville Predators,2022-12-13T01:00:00Z,US/Central
acabf42d-2f9c-467c-8d88-ec2b506b0b0c,MIN,Minnesota Wild,EDM,Edmonton Oilers,2022-12-13T01:00:00Z,US/Central
29afa852-6e1c-462a-b526-159fe607e978,TOR,Toronto Maple Leafs,ANA,Anaheim Ducks,2022-12-14T00:00:00Z,US/Eastern
2de3fad5-a527-4c49-9093-9243d2135352,TB,Tampa Bay Lightning,SEA,Seattle Kraken,2022-12-14T00:00:00Z,US/Eastern
34a3dafc-1a66-48f0-96bd-93dd007d76f9,NJ,New Jersey Devils,DAL,Dallas Stars,2022-12-14T00:00:00Z,US/Eastern
36351bae-25d4-4c0b-8645-b468e4245a56,BUF,Buffalo Sabres,LA,Los Angeles Kings,2022-12-14T00:00:00Z,US/Eastern
7938670a-f192-4314-8443-d858c215d56e,FLA,Florida Panthers,CBJ,Columbus Blue Jackets,2022-12-14T00:00:00Z,US/Eastern
cf026da7-6666-4240-bb8f-776b8bdcd187,DET,Detroit Red Wings,CAR,Carolina Hurricanes,2022-12-14T00:00:00Z,US/Eastern
e69bac22-c3ee-4edd-ad57-36b52aedfc4a,BOS,Boston Bruins,NYI,New York Islanders,2022-12-14T00:00:00Z,US/Eastern
0f5c4332-f8c6-4d2c-b59e-fbd4cf224b7d,WPG,Winnipeg Jets,VGK,Vegas Golden Knights,2022-12-14T01:00:00Z,US/Central
a1938d72-4983-49ed-b27d-d968e23e317b,NSH,Nashville Predators,EDM,Edmonton Oilers,2022-12-14T01:00:00Z,US/Central
1dbc098c-2201-4c1f-9e65-a9e2abcabe06,CHI,Chicago Blackhawks,WSH,Washington Capitals,2022-12-14T01:30:00Z,US/Central
042a9294-ddc5-4b9a-85ef-2eb82c7758c1,COL,Colorado Avalanche,PHI,Philadelphia Flyers,2022-12-14T02:30:00Z,US/Mountain
60907ea0-8270-49b1-bbc8-d0e0cbd9803e,SJ,San Jose Sharks,ARI,Arizona Coyotes,2022-12-14T03:30:00Z,US/Pacific
4c0b73ed-5163-424a-be15-0b3305c9f16f,OTT,Ottawa Senators,MTL,Montreal Canadiens,2022-12-15T00:00:00Z,US/Eastern
e3897b1d-1a2d-45a5-a1b8-4bda92262962,MIN,Minnesota Wild,DET,Detroit Red Wings,2022-12-15T00:30:00Z,US/Central
c1ea3306-4d7d-4982-a0fd-b88c9ca6b528,CGY,Calgary Flames,VAN,Vancouver Canucks,2022-12-15T03:00:00Z,US/Mountain
02cf432b-d84e-4583-929b-afafb74e6fac,MTL,Montreal Canadiens,ANA,Anaheim Ducks,2022-12-16T00:00:00Z,US/Eastern
1f2dc77e-f230-438f-a5d6-3cc328379158,CAR,Carolina Hurricanes,SEA,Seattle Kraken,2022-12-16T00:00:00Z,US/Eastern
39b23042-fdc4-40fc-ac71-989b2964a21f,WSH,Washington Capitals,DAL,Dallas Stars,2022-12-16T00:00:00Z,US/Eastern
52247b18-e91d-4cc2-b00b-5fd43ad8361f,NYR,New York Rangers,TOR,Toronto Maple Leafs,2022-12-16T00:00:00Z,US/Eastern
c566725e-b6d6-4695-9995-d190b1058a25,BOS,Boston Bruins,LA,Los Angeles Kings,2022-12-16T00:00:00Z,US/Eastern
e2a19abf-1287-4777-b88f-d35818db817b,NJ,New Jersey Devils,PHI,Philadelphia Flyers,2022-12-16T00:00:00Z,US/Eastern
ed84f3d8-84fa-4704-ae1f-f5e90ed8aa72,FLA,Florida Panthers,PIT,Pittsburgh Penguins,2022-12-16T00:00:00Z,US/Eastern
